# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.08415604063947514,0.00885279897014124,0.10519505079934394,1.2500000000000002,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.11886688191432969,0.017661669520044,0.253778653192256,4.2806108102182465,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.14540076981320957,0.026426729827842443,0.330334564659424,2.88521274224573,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.1676856537016078,0.03514809807166941,0.39135802939352154,2.7383344261383873,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.18724506387012468,0.04382589242965884,0.44366339696466583,2.6741791864120605,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.2048613796301173,0.0524602310799438,0.49013305437530225,2.637876048757648,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.22099996778399444,0.06105123220065822,0.5323266842676395,2.6144560781917376,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.23596442777662052,0.06959901396993495,0.571205494450769,2.598076389143842,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.24996590898105792,0.07810369456590815,0.6074129209470975,2.5859711531701093,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.26315834346143835,0.08656539216671044,0.6414053155531211,2.57665820941362,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.27565808524398594,0.09498422495047576,0.6735205358817791,2.5692707007354305,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.2875556448346478,0.10336031109533761,0.7040171625982915,2.5632674065737477,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.29892309215506185,0.11169376877942949,0.7330984212371381,2.558292800409239,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.30981893574264857,0.11998471618088424,0.7609275348721378,2.5541036278002878,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.32029145661767033,0.12823327147783625,0.7876379904504004,2.5505277952675427,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.3303810561741318,0.13643955284841858,0.8133406409897537,2.547440103595887,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.3401219528001855,0.1446036784707645,0.8381287612178948,2.5447472835140434,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.3495434353816499,0.15272576652300707,0.8620817352272945,2.542378421048524,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.35867080749152774,0.16080593518328068,0.8852678035914706,2.5402786349735478,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.367526110778234,0.1688443026297184,0.9077461478372018,2.538404786143921,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.3761286875955659,0.17684098704045348,0.9295684979672489,2.5367224952971035,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.38449562451983194,0.18479610659361945,0.9507803901442461,2.535204026156547,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.3926421062161826,0.19270977946735002,0.9714221634200195,2.533826754317778,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.40058170086990075,0.20058212383977825,0.9915297588576004,2.5325720410883275,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.40832659270641497,0.20841325788903808,1.0111353669703964,2.5314243925735664,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.41588777312468556,0.21620329979326236,1.0302679572888749,2.530370823085654,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.42327519911337597,0.22395236773058502,1.0489537152975743,2.5294003672329044,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.43049792555053235,0.23166057987913957,1.0672164058298887,2.528503701644354,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.4375642164684485,0.23932805441705907,1.0850776775237299,2.52767284864467,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.4444816392360674,0.246954909522477,1.1025573196306488,2.5269009418858674,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.4512571447620765,0.2545412633735271,1.1196734799976809,2.5261820393073733,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.45789713617653727,0.2620872341483429,1.1364428511732647,2.525510972659251,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.4644075279536777,0.2695929400250574,1.1528808301627698,2.5248832254954063,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.4707937970549775,0.27705849918180414,1.1690016562608154,2.524294833546018,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.4770610273721527,0.2844840297967173,1.1848185305339087,2.5237423028394885,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.4832139485138478,0.2918696500479294,1.2003437198575029,2.523222541954615,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.4892569697928274,0.2992154781135745,1.215588647883346,2.5227328056698974,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.4951942101210679,0.3065216321717854,1.2305639748923667,2.5222706478278343,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.5010295244000667,0.31378823040069626,1.2452796681514273,2.5218338816852253,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.5067665268965109,0.3210153909784401,1.2597450641207115,2.5214205464002677,-90.0,-90.0,Infinity,0.0,0.0,0.0
 0.5124086120143968,0.3282032320831507,1.2739689236386276,2.52102887863659,-90.0,-90.0,Infinity,0.0,0.0,0.0
