# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-175.27320431170244,140.0,0.007288414256969386,137.20405629300942,0.0,0.0
 0.10931828324550318,0.014938108814680074,0.13664785405687896,1.25,-175.27320431170244,140.34,0.007288414256969386,137.20405629300942,0.0,0.0
 0.15464895367902814,0.029895373592522742,0.32995904615566424,4.264467969479205,-175.26696222699232,140.68,0.007119548222838228,140.4583505442354,0.1377011337011555,3.037703444141355
 0.18946592364128623,0.04487167027655714,0.43014359665039326,2.8774632198990893,-175.26085697660216,141.02,0.006951954635733353,143.84443690986646,0.17535272014681919,1.0814147953276338
 0.2188458357822921,0.059866874799062476,0.5103896992794732,2.731325479938367,-175.25488788791534,141.36,0.006785610293987565,147.37067952252676,0.20316904482752418,0.9467803901932514
 0.24475434718400027,0.07488086308183269,0.579500228707865,2.667483606326966,-175.2490542984598,141.7,0.006620496079100058,151.04608295998457,0.22516112041692854,0.8488359384458662
 0.2681991961754229,0.08991351103642876,0.6411919291992797,2.6313541415423374,-175.2433555557899,142.04,0.006456592322385339,154.88046171553196,0.24307013758100693,0.7638785462269517
 0.2897788046968807,0.1049646945644412,0.6974725010903796,2.6080441559047305,-175.2377910173656,142.38,0.0062938780777637825,158.88455220208212,0.2578609532595904,0.6854070435928522
 0.3098829321634185,0.12003428955774732,0.7495771710753745,2.5917399335892704,-175.23236005044174,142.72,0.006132334256712062,163.07004121725163,0.2701418866783922,0.6108662730696806
 0.32878220377478506,0.1351221718987554,0.7983314199227541,2.5796893049601692,-175.22706203196438,143.06,0.005971941120314291,167.44974202749205,0.2803292415878064,0.5390342611557216
 0.34667358418046534,0.15022821746066276,0.8443197349440624,2.5704173729774142,-175.2218963484459,143.4,0.005812680946478325,172.03765512123294,0.28872470437232906,0.46924622886321177
 0.36370570752485815,0.1653523021076971,0.8879741146316557,2.5630615047163112,-175.21686239587376,143.74,0.005654532588209119,176.84927700040296,0.2955563713577381,0.4011048327487673
 0.3799940017372563,0.18049430169536745,0.9296246365776433,2.5570831053803382,-175.21195957959134,144.08,0.005497480461424144,181.90151052232136,0.30100243883577815,0.33435468484444913
 0.3956302233861331,0.195654092070702,0.9695302814042376,2.5521283672427915,-175.20718731420388,144.42000000000002,0.005341504068631656,187.21318698839295,0.30520579041541207,0.2688214374305616
 0.41068873768097597,0.2108315490724919,1.0078987013338856,2.5479552084888004,-175.2025450234724,144.76,0.00518658573604866,192.80506500637514,0.3082834495199167,0.20437999687383915
 0.4252308065336124,0.22602654853153314,1.0448994302682344,2.544392363239341,-175.19803214021627,145.1,0.005032708619077726,198.70015844137149,0.310332958939822,0.14093657791571457
 0.439307606372446,0.24123896627085997,1.0806730161325744,2.541315233143516,-175.193648106207,145.44,0.0048798535700625735,204.9241817694905,0.31143683645885034,0.07841821519569243
 0.4529624073637705,0.25646867810597807,1.1153375171702724,2.5386309957737065,-175.18939237208681,145.78,0.004728005423289177,211.50567955658573,0.3116657740304055,0.01676608627988298
 0.46623218236848796,0.27171555984510387,1.1489932371653255,2.536269076385127,-175.18526439726048,146.12,0.004577146727660516,218.47671912215992,0.3110809960878421,-0.04406841429907626
 0.47914881804248627,0.2869794872893896,1.181726250513716,2.534174855940494,-175.1812636498058,146.46,0.0044272591374107184,225.87338327452179,0.3097360300053754,-0.10412665622938834
 0.4917400420817144,0.3022603362331579,1.2136110751552511,2.53230540114269,-175.1773896063851,146.8,0.004278325971869661,233.7362806329113,0.30767806280062115,-0.16344457046770308
 0.5040301439113528,0.3175579824641238,1.2447127324913292,2.5306264966067498,-175.1736417521564,147.14000000000001,0.004130334336455857,242.1111509481522,0.30494899722383095,-0.22205394345951607
 0.5160405424100895,0.33287230176362415,1.2750883579017989,2.5291105381444963,-175.1700195806778,147.48000000000002,0.0039832641132811816,251.05038771236738,0.30158628616403255,-0.27998330448004044
 0.5277902385659222,0.3482031699068413,1.304788476220011,2.5277350090000827,-175.16652259382852,147.82,0.003837101715713306,260.61336761152364,0.29762359834060886,-0.3372587487257294
 0.5392961803410247,0.3635504626630237,1.3338580236336854,2.5264813590989665,-175.16315030172123,148.16,0.0036918298197565445,270.86839015400346,0.2930913586364177,-0.3939042794392028
 0.5505735596962189,0.3789140557957073,1.3623371750465492,2.5253341681502035,-175.15990222261829,148.5,0.0035474331041884175,281.893969704266,0.28801718915857416,-0.4499422532511036
 0.5616360565796575,0.39429382506293525,1.3902620203448455,2.5242805121239713,-175.15677788284918,148.84,0.003403897496274808,293.78087944610263,0.282426273380758,-0.505393659019799
 0.5724960410116197,0.4096896462174726,1.4176651219891048,2.5233094776461162,-175.15377681673118,149.18,0.0032612080713642546,306.6348353485069,0.2763416593129419,-0.5602783416436922
 0.5831647417373765,0.4251013950070263,1.444575978436244,2.522411785548521,-175.15089856649195,149.52,0.0031193476346080243,320.57985102569677,0.269784513898715,-0.6146151797468985
 0.5936523879675407,0.4405289471744543,1.4710214121311427,2.5215794959632913,-175.14814268218845,149.86,0.0029783037963917905,335.76158389600755,0.2627743387798487,-0.6684221573668174
 0.6039683292742967,0.45597217845798155,1.497025896552303,2.5208057750512576,-175.14550872163016,150.20000000000002,0.0028380607763858878,352.3532717553161,0.2553291531966406,-0.7217165512886551
